Indigenous mot,Total population by age groups,  0-4,  5-9,  10-14,  15-19,  20-24,  25-29,  30-34,  35-39,  40-44,  45-49,  50-54,  55-59,  60-64,  65-69,  70-74,  75-79,  80-84,  85-89,  90-94,  95-99,  100+
Total,29639030,1701480,1980610,2055585,2044350,1943850,1887195,2085890,2508940,2565150,2320745,2072440,1583615,1264340,1120870,986005,777270,453285,213490,62455,10230,1235
  English,17352315,1117225,1307370,1364940,1317575,1168065,1126130,1210560,1437790,1454495,1303555,1152020,851080,646000,555440,502745,411605,260290,123685,35220,5865,665
  French,6703330,329935,412445,421855,425945,448515,401240,429890,565185,615700,567380,510645,421125,317310,277625,234950,174910,95815,39865,11110,1660,235
  Indigenous languages,187675,14665,15740,15620,13665,12165,13545,15510,15730,14830,12745,11615,9280,7470,6005,4100,2555,1435,685,260,35,10
    Cree,72880,5435,5720,5660,5145,4830,5855,6320,6330,6085,5085,4455,3560,2840,2235,1505,945,510,280,80,15,0
    Ojibway,21005,755,900,950,940,975,1200,1740,2120,2135,2085,2030,1520,1170,1040,640,450,215,105,55,0,0
    Blackfoot,2745,25,40,55,55,45,105,175,345,445,355,310,260,215,105,95,65,45,10,10,10,0
    Malecite,760,35,40,35,40,45,45,40,45,60,70,75,70,40,45,25,25,0,0,0,0,0
    Micmac,7235,585,600,575,500,455,510,625,630,670,570,455,290,270,230,125,80,35,15,10,0,0
    Montagnais-Naskapi,9705,1085,1265,1105,925,750,690,765,750,625,465,370,270,185,170,110,80,45,20,10,0,0
    Algonquin,1450,105,105,100,90,105,95,145,110,105,110,80,100,65,40,40,25,20,10,0,0,0
"    Algonquian languages, n.i.e.",510,10,0,10,10,10,25,30,20,60,55,60,100,45,20,30,15,10,0,0,0,0
    Chipewyan,575,10,0,10,10,15,10,45,55,60,80,75,50,70,30,30,15,15,0,0,0,0
    South Slave,1385,35,40,45,50,65,90,145,150,140,130,130,80,75,75,55,35,20,10,10,0,0
    Carrier,1240,10,20,25,20,30,35,70,120,115,180,190,115,95,80,80,30,25,15,0,0,0
    Chilcotin,810,15,25,30,20,30,45,105,110,90,80,60,60,40,30,35,25,10,0,0,0,0
    Dogrib,1865,160,140,160,150,190,150,195,145,145,100,90,45,50,45,35,30,15,15,10,0,0
    North Slave (Hare),855,30,55,60,55,60,60,65,80,75,70,60,40,40,35,25,15,10,10,0,10,0
    Kutchin-Gwich'in (Loucheux),320,0,0,0,0,10,0,10,20,20,25,35,40,45,30,25,20,15,10,0,10,0
"    Athapaskan languages, n.i.e.",1015,20,20,40,30,20,35,80,90,95,110,85,80,95,70,60,30,30,10,10,0,0
    Mohawk,310,0,15,0,10,0,15,50,35,20,45,40,25,10,20,15,15,0,0,0,0,0
"    Iroquoian languages, n.i.e.",165,0,0,10,0,0,0,0,30,10,25,25,15,25,0,10,0,0,0,0,0,0
    Shuswap,630,15,30,35,15,25,25,15,25,40,55,55,95,65,50,35,25,20,0,0,0,0
    Thompson (Ntlakapamux),405,0,0,0,0,10,10,10,15,35,45,55,60,55,30,35,15,15,10,0,0,0
"    Salish languages, n.i.e.",1570,25,40,30,25,10,30,35,65,110,150,170,240,220,170,115,65,30,25,10,0,0
    Tsimshian,340,0,10,0,0,0,0,0,10,20,10,15,40,65,75,55,25,10,10,0,0,0
    Gitksan,910,0,10,10,0,10,15,45,110,115,135,115,100,70,75,45,35,20,0,10,0,0
    Nootka,410,0,0,0,10,10,0,20,0,15,25,55,90,60,40,25,15,10,0,0,0,0
"    Wakashan languages, n.i.e.",870,10,15,10,0,20,10,25,55,80,65,90,135,100,105,95,45,20,10,0,0,0
    Haida,145,0,0,0,10,10,0,0,20,10,20,0,10,10,25,20,10,0,0,0,0,0
    Dakota/Sioux,3900,240,320,310,340,255,270,350,300,310,265,250,195,155,145,90,50,30,15,10,0,0
    Tlingit,100,0,10,0,0,0,0,10,0,10,10,10,10,10,15,10,0,0,10,0,0,0
    Kutenai,120,0,0,0,0,0,10,0,10,0,15,15,25,20,10,0,0,0,0,0,0,0
    Inuktitut (Eskimo),29010,3585,3590,3585,2790,2285,2290,2390,2070,1595,1190,1170,755,630,490,280,150,95,45,10,0,0
    Attikamekw,4615,645,690,585,420,355,360,405,325,265,160,120,95,75,55,30,15,10,10,0,0,0
    Oji-Cree,9730,1020,1075,1065,1025,845,835,820,730,630,425,330,290,220,155,110,75,40,20,10,10,0
    Dene,8880,805,970,1070,945,655,675,730,740,525,405,385,265,210,190,125,90,55,25,10,0,0
    Nishga,510,0,0,0,0,15,0,0,35,30,70,65,85,70,30,50,20,20,10,0,0,0
"    Aboriginal languages, n.i.e.",690,0,10,45,30,45,55,25,35,80,60,95,50,45,40,40,20,15,0,0,0,0
  Other languages,5014570,202180,213880,225295,261080,288955,320095,402270,459850,451710,412910,377430,285600,279705,268835,232265,177885,90045,46555,15125,2565,315
  English and French,112580,11000,8805,8410,8040,7955,7195,6635,7610,7465,6555,6355,5760,4810,4430,4325,3935,2165,875,195,40,0
  English and Non-official language(s),219855,21995,18220,16095,14920,15055,15470,17015,18370,17380,14335,11510,8460,7470,6795,6285,5440,2975,1535,475,60,0
  French and Non-official language(s),38625,3600,3170,2490,2220,2395,2710,3155,3615,3100,2770,2360,1965,1270,1305,1060,725,455,215,50,0,0
"  English, French and Non-official language(s)",10085,890,975,875,900,745,800,850,790,470,495,495,345,315,445,275,220,110,70,15,0,0
