Indigenous mot,Total - Age group,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
Total,31074400,1685705,1803730,2073100,2127140,2060710,1967055,2003935,2190170,2587235,2597115,2335410,2062840,1568355,1212510,1027070,839300,567855,263895,83845,15940,1500
  English,17808290,1064915,1172905,1333195,1356405,1258410,1124180,1129240,1207280,1432040,1436880,1288765,1133030,831325,609515,501925,422315,296965,151255,48250,8665,815
  French,6776065,316205,345270,425100,425145,416860,436670,400790,429600,566525,612815,566635,503455,411945,293935,245465,189585,121580,50815,14575,2915,180
  Indigenous languages,209630,17730,16300,17530,17080,14185,13130,14185,15920,16670,15220,13465,11470,8910,6845,5075,3130,1680,760,270,70,15
    Cree,78695,6600,6050,6445,6140,5250,5060,5785,6280,6535,5840,5070,4175,3170,2505,1720,1095,575,290,85,25,10
    Ojibway,24095,1290,1185,1220,1265,1170,1160,1425,1945,2335,2385,2275,1955,1600,1115,875,440,270,110,55,10,10
    Blackfoot,3080,80,95,95,110,100,135,160,200,315,425,350,330,245,210,120,70,25,20,0,0,0
    Malecite,530,0,10,10,15,10,15,25,40,40,70,70,85,40,30,35,15,15,0,0,0,0
    Mi'kmaq,7350,545,555,630,595,475,440,530,580,640,570,540,425,265,250,170,80,45,15,10,0,0
    Montagnais-Naskapi,10970,1105,1060,1315,1120,905,695,705,790,810,615,480,380,310,225,200,165,60,15,15,0,0
    Algonquin,1915,165,135,165,165,145,110,125,140,140,120,135,90,100,65,35,35,25,0,0,0,0
"    Algonquian languages, n.i.e.",790,10,20,35,40,10,25,20,25,75,75,120,90,70,65,40,35,15,10,0,0,0
    Chipewyan,525,20,0,15,20,15,10,20,25,55,60,90,60,45,25,25,15,10,10,0,0,0
    South Slave,1600,30,20,30,65,45,65,130,150,185,145,195,155,110,85,80,35,45,15,0,10,0
    Carrier,1555,30,30,30,40,40,60,75,110,180,145,165,175,180,115,90,55,25,20,0,0,0
    Chilcotin,1075,50,40,55,60,55,55,70,75,125,115,85,105,60,35,20,25,35,10,0,0,0
    Dogrib,2015,90,105,100,155,150,210,190,210,180,185,130,80,50,55,40,30,20,15,0,0,0
    North Slave (Hare),1060,60,65,70,80,70,65,65,65,105,110,85,60,45,40,30,25,10,10,0,10,0
    Kutchin-Gwich'in (Loucheux),355,10,25,20,15,0,10,15,20,0,25,15,35,40,45,30,25,15,10,0,0,0
"    Athapaskan languages, n.i.e.",1060,30,15,15,70,50,45,40,55,120,95,110,105,80,95,60,45,10,10,0,0,0
    Mohawk,290,15,25,10,10,10,30,10,10,20,25,30,30,20,20,10,0,10,0,0,0,0
"    Iroquoian languages, n.i.e.",120,0,0,0,0,0,10,15,0,0,0,10,10,20,10,0,0,0,0,0,0,0
    Shuswap,925,95,45,50,45,35,30,30,40,45,70,90,80,95,65,55,30,20,10,0,0,0
    Thompson (Ntlakapamux),500,30,20,25,30,10,10,15,25,35,25,60,55,60,35,35,20,10,10,0,0,0
"    Salish languages, n.i.e.",1805,55,40,80,60,50,50,75,65,80,150,155,220,200,155,170,110,50,25,15,0,0
    Tsimshian,315,10,0,0,10,0,0,10,10,0,10,45,20,25,30,80,45,10,0,0,0,0
    Gitksan,1180,10,15,20,55,20,30,20,40,140,155,155,140,120,80,55,55,40,10,10,0,0
    Nootka,375,0,10,10,10,10,10,10,15,15,30,45,60,50,45,45,20,10,10,0,0,0
"    Wakashan languages, n.i.e.",710,15,15,10,10,20,15,15,35,25,65,55,90,115,90,70,50,20,10,0,0,0
    Haida,110,10,10,10,0,0,0,0,10,0,0,10,20,10,10,0,15,10,0,10,0,0
    Dakota/Sioux,5585,575,445,530,560,445,350,385,435,410,365,330,220,180,130,120,65,35,10,0,0,0
    Tlingit,80,0,0,0,0,0,0,0,10,10,10,20,10,10,0,10,10,10,0,0,0,0
    Kutenai,150,0,15,10,0,10,10,10,0,10,15,15,20,10,10,10,0,10,0,0,0,0
"    Inuktitut, n.i.e.",31960,3820,3650,3655,3585,2705,2335,2200,2335,1980,1540,1205,1045,695,510,370,200,80,30,15,10,0
    Atikamekw,5245,725,625,630,530,455,355,345,420,305,265,185,100,90,85,60,40,10,10,0,0,0
    Oji-Cree,11655,1320,1025,1145,1115,1020,1000,885,885,830,660,490,375,300,250,160,90,60,30,15,0,0
    Dene,9745,895,900,1045,1045,830,640,720,755,735,625,410,330,250,215,145,115,50,35,10,0,0
    Nisga'a,675,30,15,15,25,15,10,10,25,40,65,85,75,100,65,30,35,15,10,0,0,0
    Inuinnaqtun,365,10,10,10,15,15,15,25,30,65,65,40,30,10,15,10,0,0,10,0,0,0
"    Aboriginal languages, n.i.e.",1145,20,25,30,15,30,70,20,70,65,90,130,230,155,60,75,30,20,15,0,0,0
  Other languages,5889610,251615,238520,266935,300710,343835,365895,431630,507265,541720,504075,444165,396095,302050,290575,264015,215595,141665,58610,20060,4100,470
  English and French,98050,9365,7950,8155,7580,7270,6440,6245,6035,6325,5805,5325,5290,4205,3240,3300,2795,1780,740,160,50,0
  English and Non-official language,238930,20775,18630,18170,16610,16700,17050,17595,19205,19400,18635,14000,11155,8005,6670,6035,4800,3520,1415,465,100,15
  French and Non-official language,43070,4010,3315,2825,2605,2445,2905,3570,4110,3905,3150,2495,2000,1645,1345,990,855,555,260,40,35,0
"  English, French and Non-official language",10745,1085,845,1190,1010,995,780,690,755,650,530,560,345,265,380,265,220,115,45,20,0,0
